date,start,stop,distance,calories,steps
2023-09-23,11:12,11:25,98,7,145
2023-09-23,12:28,12:56,95,9,141
2023-09-23,13:31,13:37,119,6,175
2023-09-23,14:25,14:32,183,48,269
2023-09-23,16:18,16:24,113,5,167
2023-09-23,16:26,16:41,264,11,379
2023-09-24,13:15,13:20,112,5,165
2023-09-24,19:01,19:05,109,4,161
2023-09-24,21:38,22:06,76,5,112
2023-09-25,08:23,08:39,122,6,180
2023-09-25,08:59,09:04,78,3,115
2023-09-25,09:44,10:01,313,15,429
2023-09-25,11:03,11:08,548,16,660
2023-09-25,11:33,11:43,283,9,416
2023-09-25,12:36,12:44,101,4,149
2023-09-25,12:45,12:52,635,21,802
2023-09-25,13:26,13:49,234,13,345
2023-09-25,17:59,18:05,67,4,99
2023-09-25,19:36,19:50,114,9,169
2023-09-25,19:51,19:55,89,4,132
2023-09-25,19:58,20:16,112,78,166
2023-09-25,20:17,20:38,950,137,1289
2023-09-25,20:47,20:55,187,10,276
2023-09-26,07:04,07:28,119,6,176
2023-09-26,07:45,07:54,182,8,261
2023-09-26,07:55,07:59,313,10,386
2023-09-26,08:36,08:43,760,24,896
2023-09-26,10:24,10:29,146,7,202
2023-09-26,13:29,13:36,630,21,799
2023-09-27,09:08,09:27,87,6,128
2023-09-27,09:52,10:10,313,11,453
2023-09-27,10:30,10:38,799,25,975
2023-09-27,11:40,11:45,123,4,182
2023-09-27,12:25,12:29,213,5,314
2023-09-27,12:44,12:48,140,5,206
2023-09-27,13:59,14:04,189,7,279
2023-09-27,17:52,18:01,762,26,988
2023-09-27,18:26,18:32,274,8,401
2023-09-28,08:33,08:40,91,5,134
2023-09-28,12:29,12:38,90,6,133
2023-09-28,12:56,13:04,220,7,292
2023-09-28,13:29,13:37,791,25,968
2023-09-28,16:33,16:40,646,20,826
2023-09-28,19:19,19:30,317,10,413
2023-09-28,19:39,19:58,132,6,177
2023-09-28,20:16,20:25,854,28,1053
2023-09-28,20:26,20:36,478,19,643
2023-09-28,20:57,21:02,83,4,123
2023-09-28,21:28,21:32,46,2,69
2023-09-28,21:35,21:48,134,9,198
2023-09-28,21:50,21:54,145,5,214
2023-09-28,22:17,22:21,140,4,207
2023-09-28,22:22,22:37,94,6,139
2023-09-28,22:38,22:44,152,6,224
2023-09-28,23:01,23:08,179,7,264
2023-09-28,23:21,23:26,149,5,219
2023-09-28,23:42,23:59,617,22,896
2023-09-29,07:25,07:49,101,6,149
2023-09-29,08:11,08:18,120,5,177
2023-09-29,09:35,09:49,317,13,467
2023-09-29,11:06,11:31,207,12,305
2023-09-29,11:38,11:45,179,6,247
2023-09-29,13:22,13:29,306,10,449
2023-09-29,13:35,13:45,257,10,379
2023-09-29,14:09,14:24,287,13,408
2023-09-29,14:25,14:29,106,3,156
2023-09-29,14:30,14:39,756,24,963
2023-09-29,14:40,14:50,282,10,394
2023-09-29,14:51,14:57,556,19,713
2023-09-29,16:20,16:29,458,17,595
2023-09-29,16:30,17:00,2162,74,2739
2023-09-29,18:06,18:12,66,3,98
2023-09-30,12:10,12:25,310,13,456
2023-09-30,12:34,12:50,526,22,734
2023-09-30,21:20,21:39,193,11,284
2023-09-30,22:14,22:18,73,3,108
2023-10-01,15:22,15:27,137,5,202
2023-10-01,15:47,15:51,118,5,174
2023-10-01,23:00,23:09,87,6,129
2023-10-02,09:39,10:13,401,24,576
2023-10-02,10:30,10:37,709,22,866
2023-10-02,12:39,12:46,697,22,859
2023-10-02,13:39,13:44,99,3,146
2023-10-02,14:26,14:41,102,7,151
2023-10-03,09:18,09:34,51,6,75
2023-10-03,10:18,10:22,198,6,276
2023-10-03,12:40,12:44,97,3,143
2023-10-03,14:59,15:13,89,4,131
2023-10-03,16:40,16:45,111,4,164
2023-10-04,10:50,10:58,110,6,163
2023-10-04,13:08,13:49,451,120,664
2023-10-04,13:51,13:55,112,39,166
2023-10-04,13:58,14:24,248,114,348
2023-10-05,11:23,11:38,276,12,364
2023-10-05,12:01,12:09,708,23,880
2023-10-05,12:13,12:20,365,13,511
2023-10-05,12:56,13:08,91,7,135
2023-10-05,14:44,14:49,319,11,441
2023-10-05,16:49,16:58,812,26,1001
2023-10-05,18:06,18:26,148,7,218
2023-10-05,18:48,19:00,193,8,285
2023-10-06,09:32,09:36,102,5,151
2023-10-06,09:38,09:51,94,4,139
2023-10-06,09:52,09:57,195,7,288
2023-10-06,09:59,10:11,142,12,210
2023-10-06,10:30,10:35,560,17,667
2023-10-06,12:45,12:50,431,15,538
2023-10-06,12:51,12:59,564,19,745
2023-10-06,13:23,13:36,1145,39,1449
2023-10-06,14:20,14:29,262,9,370
2023-10-06,14:52,15:03,1073,35,1305
2023-10-06,18:12,18:16,80,5,119
2023-10-06,18:48,18:59,187,9,275
2023-10-06,19:28,19:41,461,18,605
2023-10-06,20:57,21:11,70,5,103
2023-10-06,21:34,21:42,237,9,349
2023-10-06,21:58,22:02,440,14,552
2023-10-06,23:07,23:31,226,13,333
2023-10-07,11:07,11:41,217,15,320
2023-10-07,11:49,20:13,293,15,422
2023-10-07,20:15,20:21,121,5,178
2023-10-07,21:41,21:45,85,4,126
2023-10-07,23:45,23:55,87,4,129
