date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2023-09-23,118,347,0,2023-09-22 22:55:00+0000,2023-09-23 07:40:00+0000,60,
2023-09-24,80,245,10,2023-09-24 02:29:00+0000,2023-09-24 09:37:00+0000,93,
2023-09-25,47,295,11,2023-09-24 22:57:00+0000,2023-09-25 06:05:00+0000,75,
2023-09-26,53,302,3,2023-09-25 21:30:00+0000,2023-09-26 04:46:00+0000,78,
2023-09-27,36,272,14,2023-09-27 01:04:00+0000,2023-09-27 07:00:00+0000,34,
2023-09-28,86,298,0,2023-09-27 22:36:00+0000,2023-09-28 06:05:00+0000,65,
2023-09-29,52,243,9,2023-09-28 23:37:00+0000,2023-09-29 05:17:00+0000,36,
2023-09-30,93,318,0,2023-09-29 22:49:00+0000,2023-09-30 06:45:00+0000,65,
2023-10-01,69,241,0,2023-10-01 01:06:00+0000,2023-10-01 07:57:00+0000,101,
2023-10-03,72,367,0,2023-10-02 21:04:00+0000,2023-10-03 05:34:00+0000,71,
2023-10-04,79,239,10,2023-10-04 01:11:00+0000,2023-10-04 08:25:00+0000,106,
2023-10-05,98,345,2,2023-10-04 21:44:00+0000,2023-10-05 06:35:00+0000,86,
2023-10-06,42,391,9,2023-10-05 21:36:00+0000,2023-10-06 06:34:00+0000,96,
2023-10-07,86,270,2,2023-10-06 23:03:00+0000,2023-10-07 06:40:00+0000,99,
